 1 |   0 |  320x200 |        4 |   320 x 200 CGA C0
 1 |   1 |  320x200 |        4 |   320 x 200 CGA C1
 1 |   2 |  320x200 |        4 |   320 x 200 CGA C2
 1 |   3 |  320x200 |        4 |   320 x 200 CGA C3
 1 |   4 |  640x200 |        2 |      640 x 200 CGA
 2 |   0 |  320x200 |        4 |   320 x 200 CGA C0
 2 |   1 |  320x200 |        4 |   320 x 200 CGA C1
 2 |   2 |  320x200 |        4 |   320 x 200 CGA C2
 2 |   3 |  320x200 |        4 |   320 x 200 CGA C3
 2 |   4 |  640x200 |        2 |      640 x 200 CGA
 2 |   5 |  640x480 |        2 |     640 x 480 MCGA
 7 |   0 |  720x348 |        2 | 720 x 348 HERCULES
 3 |   0 |  640x200 |       16 |      640 x 200 EGA
 3 |   1 |  640x350 |       16 |      640 x 350 EGA
 9 |   0 |  640x200 |       16 |      640 x 200 EGA
 9 |   1 |  640x350 |       16 |      640 x 350 EGA
 9 |   2 |  640x480 |       16 |      640 x 480 VGA
 6 |   0 |  320x200 |      256 |      320 x 200 VGA
 6 |   1 |  320x200 |      256 |    320 x 200 ModeX
10 | 256 |  640x400 |      256 |     640 x 400 VESA
10 | 257 |  640x480 |      256 |     640 x 480 VESA
10 | 269 |  320x200 |    32768 |     320 x 200 VESA
10 | 272 |  640x480 |    32768 |     640 x 480 VESA
10 | 270 |  320x200 |    65536 |     320 x 200 VESA
10 | 273 |  640x480 |    65536 |     640 x 480 VESA
10 | 271 |  320x200 | 16777216 |     320 x 200 VESA
10 | 274 |  640x480 | 16777216 |     640 x 480 VESA
10 | 258 |  800x600 |       16 |     800 x 600 VESA
10 | 259 |  800x600 |      256 |     800 x 600 VESA
10 | 275 |  800x600 |    32768 |     800 x 600 VESA
10 | 276 |  800x600 |    65536 |     800 x 600 VESA
10 | 277 |  800x600 | 16777216 |     800 x 600 VESA
10 | 260 | 1024x768 |       16 |    1024 x 768 VESA
10 | 261 | 1024x768 |      256 |    1024 x 768 VESA
10 | 278 | 1024x768 |    32768 |    1024 x 768 VESA
10 | 279 | 1024x768 |    65536 |    1024 x 768 VESA
10 | 280 | 1024x768 | 16777216 |    1024 x 768 VESA
10 | 512 | 1600x900 |       16 |    1600 x 900 VESA
10 | 513 | 1600x900 |      256 |    1600 x 900 VESA
10 | 514 | 1600x900 |    32768 |    1600 x 900 VESA
10 | 515 | 1600x900 |    65536 |    1600 x 900 VESA
10 | 516 | 1600x900 | 16777216 |    1600 x 900 VESA
